study_name,trial_id,tumor_lineage,tumor_type,lymphoma_subtype,regimen,ICI_agent,ICI_class,chemotherapy_context,timing_architecture,steroid_core_regimen_available,endpoint_label_in_source,endpoint_taxonomy,safety_N,events,rate_percent,grade,source_tier,quantitative_role,source_file_or_url,extraction_note,eligibility_for_primary_pooling,reason_excluded_from_primary_pooling
Nivolumab +/- NICE,,lymphoma,classical Hodgkin lymphoma,cHL,nivolumab then NICE if needed,,,,,unclear,pneumonitis,strict irAE,43,0,0.0,grade >=3,primary_manuscript_or_appendix,primary_endpoint_stratum,https://pmc.ncbi.nlm.nih.gov/articles/PMC10582531/,Possible immune-related grade 2 pneumonitis in 1 patient.,yes,
Nivolumab +/- NICE,,lymphoma,classical Hodgkin lymphoma,cHL,nivolumab then NICE if needed,,,,,unclear,colitis,strict irAE,43,1,2.3,any grade,primary_manuscript_or_appendix,primary_endpoint_stratum,https://pmc.ncbi.nlm.nih.gov/articles/PMC10582531/,"Possible immune-related grade 3 colitis in 1 patient, attributed in NICE phase.",yes,
Nivolumab +/- NICE,,lymphoma,classical Hodgkin lymphoma,cHL,nivolumab then NICE if needed,,,,,unclear,colitis,strict irAE,43,1,2.3,grade >=3,primary_manuscript_or_appendix,primary_endpoint_stratum,https://pmc.ncbi.nlm.nih.gov/articles/PMC10582531/,"Possible immune-related grade 3 colitis in 1 patient, attributed in NICE phase.",yes,
Nivolumab +/- NICE,,lymphoma,classical Hodgkin lymphoma,cHL,nivolumab then NICE if needed,,,,,unclear,encephalitis,selected AE sensitivity,43,1,2.3,any grade,primary_manuscript_or_appendix,sensitivity_or_audit,https://pmc.ncbi.nlm.nih.gov/articles/PMC10582531/,Grade 4 encephalitis in 1 patient during nivolumab monotherapy.,no,selected AE or unspecified immunologic attribution
Nivolumab +/- NICE,,lymphoma,classical Hodgkin lymphoma,cHL,nivolumab then NICE if needed,,,,,unclear,encephalitis,selected AE sensitivity,43,1,2.3,grade >=3,primary_manuscript_or_appendix,sensitivity_or_audit,https://pmc.ncbi.nlm.nih.gov/articles/PMC10582531/,Grade 4 encephalitis in 1 patient during nivolumab monotherapy.,no,selected AE or unspecified immunologic attribution
PACIFIC,,solid,stage III NSCLC,,durvalumab after chemoradiotherapy,,,,,unclear,immune-mediated pneumonitis,subgroup/post-hoc sensitivity,475,45,9.4,any grade,subgroup_or_posthoc,sensitivity_or_audit,https://pubmed.ncbi.nlm.nih.gov/35245844/,"Any-grade immune-mediated pneumonitis 9.4%; grade 3/4 1.9%; fatal imAEs 0.8%, all pneumonitis.",no,subgroup or post-hoc denominator should not replace global safety population
PACIFIC,,solid,stage III NSCLC,,durvalumab after chemoradiotherapy,,,,,unclear,immune-mediated pneumonitis,subgroup/post-hoc sensitivity,475,9,1.9,grade >=3,subgroup_or_posthoc,sensitivity_or_audit,https://pubmed.ncbi.nlm.nih.gov/35245844/,"Any-grade immune-mediated pneumonitis 9.4%; grade 3/4 1.9%; fatal imAEs 0.8%, all pneumonitis.",no,subgroup or post-hoc denominator should not replace global safety population
PACIFIC,,solid,stage III NSCLC,,durvalumab after chemoradiotherapy,,,,,unclear,non-pneumonitis immune-mediated AE,subgroup/post-hoc sensitivity,475,51,10.7,any grade,subgroup_or_posthoc,sensitivity_or_audit,https://pubmed.ncbi.nlm.nih.gov/35245844/,"Any-grade non-pneumonitis imAEs 10.7%; grade 3/4 1.7%; most common were thyroid disorders, dermatitis/rash, diarrhea/colitis.",no,subgroup or post-hoc denominator should not replace global safety population
PACIFIC,,solid,stage III NSCLC,,durvalumab after chemoradiotherapy,,,,,unclear,non-pneumonitis immune-mediated AE,subgroup/post-hoc sensitivity,475,8,1.7,grade >=3,subgroup_or_posthoc,sensitivity_or_audit,https://pubmed.ncbi.nlm.nih.gov/35245844/,"Any-grade non-pneumonitis imAEs 10.7%; grade 3/4 1.7%; most common were thyroid disorders, dermatitis/rash, diarrhea/colitis.",no,subgroup or post-hoc denominator should not replace global safety population
Pembrolizumab monotherapy pooled label,,solid,multiple solid tumors,,pembrolizumab monotherapy pooled,,,,,unclear,immune-mediated pneumonitis,immune-mediated AE/imAE,2799,94,3.4,any grade,pooled_or_manufacturer_label,sensitivity_endpoint_stratum,https://www.keytrudahcp.com/safety/adverse-reactions/melanoma-monotherapy/,"Immune-mediated pneumonitis 3.4% including fatal 0.1%, grade 4 0.3%, grade 3 0.9%, grade 2 1.3%; systemic corticosteroids required in 67%; discontinuation 1.3%.",no,endpoint definition is sensitivity imAE/global imAE rather than strict primary layer
Pembrolizumab monotherapy pooled label,,solid,multiple solid tumors,,pembrolizumab monotherapy pooled,,,,,unclear,immune-mediated pneumonitis,immune-mediated AE/imAE,2799,36,1.3,grade >=3,pooled_or_manufacturer_label,sensitivity_endpoint_stratum,https://www.keytrudahcp.com/safety/adverse-reactions/melanoma-monotherapy/,"Immune-mediated pneumonitis 3.4% including fatal 0.1%, grade 4 0.3%, grade 3 0.9%, grade 2 1.3%; systemic corticosteroids required in 67%; discontinuation 1.3%.",no,endpoint definition is sensitivity imAE/global imAE rather than strict primary layer
Pembrolizumab monotherapy pooled label,,solid,multiple solid tumors,,pembrolizumab monotherapy pooled,,,,,unclear,immune-mediated colitis,immune-mediated AE/imAE,2799,48,1.7,any grade,pooled_or_manufacturer_label,sensitivity_endpoint_stratum,https://www.keytrudahcp.com/safety/adverse-reactions/melanoma-monotherapy/,"Immune-mediated colitis 1.7%, including grade 4 <0.1%, grade 3 1.1%, grade 2 0.4%; systemic corticosteroids required in 69%; discontinuation 0.5%.",no,endpoint definition is sensitivity imAE/global imAE rather than strict primary layer
Pembrolizumab monotherapy pooled label,,solid,multiple solid tumors,,pembrolizumab monotherapy pooled,,,,,unclear,immune-mediated colitis,immune-mediated AE/imAE,2799,31,1.1,grade >=3,pooled_or_manufacturer_label,sensitivity_endpoint_stratum,https://www.keytrudahcp.com/safety/adverse-reactions/melanoma-monotherapy/,"Immune-mediated colitis 1.7%, including grade 4 <0.1%, grade 3 1.1%, grade 2 0.4%; systemic corticosteroids required in 69%; discontinuation 0.5%.",no,endpoint definition is sensitivity imAE/global imAE rather than strict primary layer
Pembrolizumab monotherapy pooled label,,solid,multiple solid tumors,,pembrolizumab monotherapy pooled,,,,,unclear,immune-mediated hepatitis,immune-mediated AE/imAE,2799,19,0.7,any grade,pooled_or_manufacturer_label,sensitivity_endpoint_stratum,https://www.keytrudahcp.com/safety/adverse-reactions/melanoma-monotherapy/,"Immune-mediated hepatitis 0.7%, including grade 4 <0.1%, grade 3 0.4%, grade 2 0.1%; systemic corticosteroids required in 68%; discontinuation 0.2%.",no,endpoint definition is sensitivity imAE/global imAE rather than strict primary layer
Pembrolizumab monotherapy pooled label,,solid,multiple solid tumors,,pembrolizumab monotherapy pooled,,,,,unclear,immune-mediated hepatitis,immune-mediated AE/imAE,2799,14,0.5,grade >=3,pooled_or_manufacturer_label,sensitivity_endpoint_stratum,https://www.keytrudahcp.com/safety/adverse-reactions/melanoma-monotherapy/,"Immune-mediated hepatitis 0.7%, including grade 4 <0.1%, grade 3 0.4%, grade 2 0.1%; systemic corticosteroids required in 68%; discontinuation 0.2%.",no,endpoint definition is sensitivity imAE/global imAE rather than strict primary layer
Pembrolizumab monotherapy pooled label,,solid,multiple solid tumors,,pembrolizumab monotherapy pooled,,,,,unclear,adrenal insufficiency,context only,2799,22,0.8,any grade,pooled_or_manufacturer_label,context_or_audit_only,https://www.keytrudahcp.com/safety/adverse-reactions/melanoma-monotherapy/,"Adrenal insufficiency 0.8%, including grade 4 <0.1%, grade 3 0.3%, grade 2 0.3%; systemic corticosteroids required in 77%.",no,context-only row is not eligible for quantitative pooling
